ID	Class	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_6528	13458.56	41	40	15	103.5	117.0	59.75	150.5	171.0	98.5	145.921428571429	161.628571428571	100.128571428571	186.25	209.5	135.5	244	254	192	50.3688649772415	56.8098358665285	45.780653583679
EL19_5122	10984.48	35	47	17	88.25	100.0	59.0	114.0	124.0	81.0	114.952380952381	128.785714285714	84.1111111111111	137.0	154.75	104.75	194	236	159	35.129442271202	39.96430550235689	31.4332873806663
EL19_6124	9536.4	31	29	30	80.5	87.0	77.0	95.0	107.0	90.0	99.01526717557249	111.053435114504	93.5572519083969	113.0	127.5	106.5	213	234	203	28.473195149885303	34.3346232467146	28.069737414941102
EL19_5292	13106.875	0	0	0	106.0	107.5	66.0	132.0	144.0	93.0	132.303703703704	146.081481481481	95.8444444444444	167.5	192.0	125.5	230	248	188	47.725157493946504	56.7918498267494	43.8429807970914
EL19_6215	12990.51	47	39	22	121.75	126.75	83.0	152.5	159.5	113.0	148.9	158.378571428571	111.57142857142901	179.75	194.5	136.0	246	253	210	42.73227681758121	49.68048526986771	39.6740574239247
EL19_5354	12859.5	57	55	29	97.75	106.5	66.0	121.5	133.5	86.0	127.42857142857099	139.007142857143	92.62142857142858	158.25	173.5	117.75	219	232	176	40.339056329696206	44.4327147005773	37.068179038429705
EL19_6393	14404.27	0	0	0	83.0	94.75	64.0	107.5	124.0	83.0	104.992857142857	121.578571428571	84.85	131.25	155.0	108.0	191	218	175	40.7901272489636	49.29445630499371	36.7726683379198
EL19_5786	11712.73	71	67	50	107.0	118.0	87.0	138.5	147.5	114.5	138.307142857143	149.485714285714	114.95	167.0	182.0	141.0	218	242	193	37.1769822089757	41.4033477453466	36.0842987836127
EL19_6809	12639.32	37	41	28	79.75	95.0	68.75	105.0	121.0	89.5	107.75	125.385714285714	94.0928571428571	132.5	153.25	116.25	204	234	197	38.895196759179	44.472218425848105	36.9430626325173
EL19_5755	8797.62	50	48	24	88.0	98.75	58.0	116.5	130.0	82.0	119.157142857143	126.392857142857	84.02857142857141	145.0	155.25	106.5	208	201	167	36.2916387359088	38.2004739185961	31.925034234815502
EL19_6227	10244.0	53	55	36	89.75	94.0	63.0	107.5	119.0	80.0	109.935714285714	120.021428571429	82.3071428571429	127.5	142.0	95.25	229	237	206	30.046537217568	33.9087789946576	27.643125631080604
EL19_5711	14118.02	57	58	35	94.0	100.75	66.75	111.0	125.0	81.0	116.6953125	127.09375	87.4453125	139.25	153.0	107.0	200	205	174	33.001206991467804	35.8200747613054	31.2326319846563
EL19_6127	10590.005	0	0	0	50.0	57.0	48.0	64.5	78.0	62.5	69.3863636363636	82.7272727272727	66.5454545454545	85.25	107.25	81.0	166	182	159	28.914891624702395	35.6584927539332	27.161761299500604
EL19_5799	11366.32	40	47	38	70.75	71.0	66.0	88.0	93.0	82.5	91.6928571428571	98.1928571428571	86.75714285714291	110.25	118.0	101.25	173	190	165	27.8750801343679	33.9819877020295	26.9889056419342
EL19_6193	11400.2	35	34	29	58.0	59.75	46.0	76.5	83.5	65.5	84.05	95.05	72.7285714285714	106.0	122.0	87.5	229	236	189	35.2392286721783	42.7967128772003	34.0054677907998
EL19_5224	14087.535	65	61	32	98.75	102.75	65.75	117.0	128.5	86.0	121.57142857142901	131.928571428571	88.52142857142859	143.25	160.25	110.0	212	224	173	31.794561513400303	38.612750504744206	31.2937964425256
EL19_6189	14313.28	21	22	17	57.0	69.5	54.75	87.0	104.0	80.0	89.92857142857142	106.235714285714	86.6142857142857	122.25	139.25	114.25	192	211	189	39.6824885462729	44.755870273591604	38.084832554563604
EL19_5510	10600.805	73	65	39	115.25	119.0	80.0	133.5	146.0	99.5	138.388888888889	143.190476190476	100.912698412698	161.75	164.0	118.0	225	218	186	33.5547247873613	32.6209047785531	31.531830226936002
EL19_6295	11206.02	36	40	20	68.0	82.0	53.0	92.5	109.0	71.5	94.1269841269841	108.960317460317	73.0	115.75	130.75	91.0	185	209	158	30.888181332538	33.491109457562196	26.9054641290575
EL19_5244	13037.78	46	48	33	82.75	88.0	64.0	109.0	119.0	86.5	115.83571428571399	125.757142857143	95.0357142857143	145.5	160.0	124.5	235	242	200	39.621702271016005	45.5811193129477	36.9521196546036
EL19_6846	10303.15	51	43	21	81.25	79.25	52.25	105.5	110.0	76.5	112.547619047619	118.06349206349199	82.63492063492059	140.75	152.75	106.75	217	240	187	38.8506076437128	45.541672526466705	35.1239184999859
EL19_5451	10623.52	53	47	23	92.75	89.0	60.75	107.0	113.5	75.5	113.557142857143	119.607142857143	82.50714285714291	129.0	141.0	99.25	232	249	215	33.0942128933414	40.443707468435605	32.2852610041942
EL19_6852	11460.64	32	33	22	73.0	86.25	51.5	95.5	110.0	74.5	101.460317460317	117.38888888888901	81.6746031746032	128.5	155.5	107.0	198	229	188	39.74853975554839	46.2402374080795	37.68667231053
EL19_5834	8326.05	48	44	28	88.0	82.0	65.0	117.0	114.5	87.5	117.757142857143	119.992857142857	89.6	144.25	151.25	109.25	221	241	213	37.721026601792204	45.3397242613423	33.6688913480132
EL19_6234	12831.555	70	62	45	107.0	99.75	73.0	119.0	114.5	87.5	121.978571428571	119.65	88.2857142857143	135.25	133.25	99.0	203	230	166	24.584158160833503	31.349715728519698	22.4638112535003
EL19_5700	12306.03	0	0	0	90.0	90.5	51.0	119.5	125.0	77.5	120.3	124.56153846153799	79.2846153846154	145.5	153.0	102.5	234	239	182	43.5079338750706	47.2015312861174	37.4172440069513
EL19_6772	13007.36	33	32	20	75.0	82.0	50.0	97.5	110.5	71.0	100.007142857143	111.35	73.17142857142859	117.0	138.25	91.25	213	214	175	34.5360819405847	40.1441512265217	29.6043315071911
EL19_5697	12964.48	0	0	0	91.75	99.0	51.0	109.5	132.0	69.5	114.454545454545	133.810606060606	73.75	143.5	170.75	95.0	221	246	172	43.01470787631761	51.749563198474796	34.9183070600356
EL19_6738	14856.24	17	19	11	75.5	95.5	57.75	102.5	129.0	82.0	102.578571428571	126.064285714286	82.20714285714291	129.25	156.0	100.5	180	212	152	39.164303938414	45.5750169341809	33.5598887909793
EL19_5251	10716.505	45	65	34	85.75	93.0	74.0	99.0	110.0	88.0	104.671428571429	113.92857142857099	92.7	121.25	131.0	107.25	210	218	221	28.672911753920303	27.711681783988105	28.3469511638866
EL19_6715	11737.6	50	44	27	88.5	88.5	61.75	107.5	117.0	77.5	110.978571428571	116.185714285714	81.6928571428571	133.0	139.25	100.25	212	219	202	31.845505619479898	34.263386443334305	29.2515501473445
EL19_5650	15193.255	0	0	0	83.0	89.0	73.5	100.0	113.0	87.0	103.11111111111099	113.651851851852	91.36296296296301	123.0	134.5	106.5	186	206	168	32.850331483973896	37.7259003865764	29.988955033331102
EL19_6441	13747.89	0	0	0	76.0	85.0	58.75	99.0	121.5	79.5	100.185714285714	116.114285714286	80.42142857142859	126.0	140.0	102.25	211	230	189	37.5069462562835	41.59622383841621	33.215898909867605
EL19_5857	15312.32	31	28	11	84.0	91.0	55.0	106.0	115.5	74.0	108.912698412698	116.904761904762	76.37301587301592	131.25	143.75	95.0	253	255	250	38.5787547422194	39.8036035698133	34.7797030756697
EL19_6445	16183.84	30	34	19	79.0	91.0	56.0	106.0	119.0	79.0	105.978417266187	120.539568345324	80.8273381294964	129.0	147.5	101.0	182	209	149	35.50126913957129	39.0798636364216	30.413080723514103
EL19_5156	14741.275	0	0	0	103.0	107.25	57.25	122.0	128.5	75.0	125.427536231884	129.855072463768	81.1666666666667	151.0	163.25	101.75	218	238	169	40.0433866307989	42.550365300676205	33.1038144390284
EL19_6537	12265.115	48	39	26	99.0	101.0	59.75	122.0	127.5	79.0	121.578571428571	126.078571428571	80.21428571428571	143.0	149.25	98.0	225	239	181	34.6165153450654	39.712467979872706	30.1692553290933
EL19_5761	14157.6	0	0	0	92.0	108.25	64.75	123.5	138.0	89.5	124.771428571429	136.785714285714	93.8642857142857	157.0	168.5	118.25	212	215	184	44.518097986147296	45.2396950727731	39.5760284094549
EL19_6758	13602.33	29	38	15	70.75	84.0	52.0	93.0	111.5	67.0	99.3	113.735714285714	74.63571428571429	122.25	140.0	93.0	211	226	187	34.8259185710377	38.7886007719515	30.6089775503915
EL19_5662	14608.44	47	44	29	101.0	108.0	72.5	129.0	142.0	100.0	130.541984732824	141.11450381679398	99.67938931297708	159.0	171.0	122.5	226	234	188	38.7183636697279	44.4544090088805	36.0751922380021
EL19_6432	10738.035	51	53	35	87.5	90.75	64.0	110.0	119.5	87.0	114.385714285714	126.0	91.62857142857142	138.0	154.75	113.25	219	232	186	37.400724363832396	45.831408287456206	34.6444100689222
EL19_5405	17677.44	34	37	43	63.75	81.75	72.75	88.5	106.0	94.0	96.6857142857143	115.207142857143	102.492857142857	125.5	145.25	127.0	196	223	197	38.78368078418521	44.738488158556	38.012019384364294
EL19_6623	16689.45	35	36	21	73.5	91.0	56.75	102.5	121.0	82.0	103.792857142857	122.41428571428601	83.5928571428571	131.25	152.0	107.25	197	239	187	40.6519702157901	46.348226156256	38.1083076779875
EL19_5355	16286.55	33	35	11	99.5	107.75	66.0	115.5	133.0	82.0	117.85	132.15	84.4857142857143	139.0	157.0	104.25	193	227	162	30.598566995176	36.557813679256	28.504823702423895
