ID	Class	Min_RGB_10_7_19_R	Min_RGB_10_7_19_G	Min_RGB_10_7_19_B	1stQu_RGB_10_7_19_R	1stQu_RGB_10_7_19_G	1stQu_RGB_10_7_19_B	Median_RGB_10_7_19_R	Median_RGB_10_7_19_G	Median_RGB_10_7_19_B	Mean_RGB_10_7_19_R	Mean_RGB_10_7_19_G	Mean_RGB_10_7_19_B	3rdQu_RGB_10_7_19_R	3rdQu_RGB_10_7_19_G	3rdQu_RGB_10_7_19_B	Max_RGB_10_7_19_R	Max_RGB_10_7_19_G	Max_RGB_10_7_19_B	sd_RGB_10_7_19_R	sd_RGB_10_7_19_G	sd_RGB_10_7_19_B
EL19_6356	9146.8	24	16	16	62.0	54.0	54.5	96.0	84.5	80.5	99.99285714285709	90.76428571428569	87.27142857142859	132.0	122.5	118.0	229	230	233	46.79412993201771	45.5518695119409	42.6959878588078
EL19_5127	8526.6	69	62	62	94.25	88.25	85.25	114.5	108.0	106.0	121.087301587302	113.38888888888901	110.325396825397	140.5	130.75	128.75	231	234	238	32.871633933534795	32.691765867807696	30.3954810759966
EL19_6590	14890.08	10	4	5	81.0	73.5	72.0	113.5	103.0	99.5	116.764285714286	107.885714285714	103.907142857143	149.25	140.0	131.5	240	237	227	50.6966731861963	50.05695830776871	45.8050131447212
EL19_5831	14064.545	16	12	12	84.0	74.75	72.0	115.5	105.0	98.5	120.307142857143	110.57142857142901	103.614285714286	149.25	137.5	132.0	244	245	232	49.6120048753246	49.527137079554905	44.849482198158796
EL19_6632	15867.815	0	0	0	87.75	78.25	77.0	121.5	112.0	105.5	123.0546875	114.3828125	108.4609375	151.25	141.25	135.0	239	235	233	51.863890400360695	51.541149540581294	46.608590054095295
EL19_5712	10944.585	0	0	0	52.0	45.75	46.0	87.5	81.0	77.5	92.6484375	85.6484375	82.609375	113.25	105.25	103.0	236	229	213	52.160501821735494	50.638224310484	46.145138093682604
EL19_6536	12224.23	17	14	20	54.0	50.0	50.0	73.0	67.5	67.0	88.5357142857143	81.8714285714286	80.54285714285709	112.5	104.25	103.25	238	229	207	48.165991571755704	47.1076897077237	42.2368061095907
EL19_5258	13833.93	35	27	29	63.0	55.75	54.75	86.5	75.0	73.5	102.114285714286	92.0571428571429	87.0857142857143	134.0	122.0	110.5	231	221	208	51.126741333105095	49.65039958377341	43.8429974744392
EL19_6594	13109.91	10	5	8	69.75	62.0	63.0	114.0	105.0	101.5	117.221428571429	108.328571428571	102.8	161.25	150.5	143.25	247	246	222	58.39250319689321	57.44480527097961	52.729007210821294
EL19_5791	14045.015	0	0	0	47.0	41.75	40.25	78.5	70.5	67.5	95.2142857142857	88.0642857142857	82.70714285714291	132.0	124.25	118.75	245	244	229	56.830276877644394	56.5861170550782	51.7767060244473
EL19_6191	15500.265	9	4	5	33.75	29.0	29.0	64.5	58.5	55.0	77.75714285714291	70.57857142857141	66.69285714285711	106.25	92.75	90.25	233	220	198	54.6219013481398	52.4848820791794	47.1028106248069
EL19_5807	10746.82	17	12	16	42.75	37.0	36.0	77.5	71.5	70.0	84.02857142857141	77.45714285714291	74.21428571428571	117.25	105.25	100.75	210	207	188	45.7257924880906	44.345337313163995	40.5735473441803
EL19_6718	8620.43	19	16	19	53.0	49.0	47.75	90.5	85.5	84.0	95.1142857142857	89.6857142857143	90.27857142857141	139.5	132.75	129.5	241	238	238	50.676585729631995	49.394620875441205	46.292325429038
EL19_5681	11606.76	11	6	6	65.5	65.25	61.25	111.5	102.0	95.0	111.79365079365101	107.015873015873	97.13492063492059	152.25	146.75	130.5	237	232	212	53.9867120629241	53.9033185066722	48.2036269464617
EL19_6592	10946.24	21	17	15	62.75	60.75	57.0	103.5	102.0	96.0	109.792857142857	109.121428571429	100.3	152.0	150.5	136.0	244	245	226	53.1698102835712	54.4449385716799	49.0213138199405
EL19_5517	10262.395	22	17	16	76.25	65.0	59.25	108.0	98.5	87.5	116.944444444444	107.246031746032	97.3095238095238	151.75	137.75	123.75	235	230	215	54.162024416457	53.9271636944405	48.241470008400704
EL19_6126	12265.77	13	13	15	56.0	54.5	45.5	97.0	96.0	79.0	105.69465648855	104.16793893129801	90.5725190839695	150.0	151.0	129.5	238	233	217	54.766201414568606	55.181400527540596	48.304169358882
EL19_5484	15084.1	19	15	16	64.0	57.75	52.0	106.0	99.5	93.5	117.0	109.521428571429	100.3	166.25	159.25	142.5	244	240	220	60.1703815854934	59.653250782164	53.9675761969679
EL19_6613	11553.88	20	15	20	74.5	67.75	65.75	112.0	101.0	96.0	119.371428571429	112.092857142857	106.064285714286	151.5	144.5	136.25	244	240	222	56.5896936058584	57.4775397395523	51.803892900341104
EL19_5140	14342.095	20	14	13	50.75	42.75	40.0	76.0	67.0	62.5	89.5857142857143	80.4428571428571	75.7285714285714	118.25	104.25	94.25	226	218	210	51.250125209783604	48.8405527087922	44.8748608313736
EL19_6365	16999.16	0	0	0	62.5	57.0	53.5	85.0	78.0	75.0	92.7553956834532	86.93525179856121	81.5611510791367	117.0	107.5	102.5	213	207	194	48.500984858761704	48.262147773653794	43.51130373004929
EL19_5634	11255.76	21	15	21	50.0	49.0	49.75	80.0	75.5	75.5	90.27142857142859	85.49285714285709	83.97142857142859	115.25	110.0	108.25	209	204	197	47.0618516724171	46.404461523995295	42.702070250748896
EL19_6182	14825.25	8	6	9	27.0	24.0	25.75	43.5	40.0	38.0	66.69285714285711	62.242857142857105	60.6428571428571	94.5	87.0	83.25	233	230	217	54.3960822262245	52.953335154721096	48.54265667387671
EL19_5307	13878.645	39	30	25	99.0	87.25	82.25	123.0	112.0	102.0	133.769841269841	125.460317460317	113.00793650793699	164.5	161.0	139.5	250	250	239	51.209087115224	53.5944252016794	47.8015055882965
EL19_6237	15829.55	0	0	0	61.0	54.0	48.5	99.0	92.5	80.5	108.782608695652	100.85507246376801	90.4782608695652	150.5	135.0	126.75	252	253	227	62.715990478969296	63.2887659366995	56.0098032857341
