id,BLUE_7_2,GREEN_7_2,NIR_7_2,RED_7_2,REDEDGE_7_2,BLUE_7_15,GREEN_7_15,NIR_7_15,RED_7_15,REDEDGE_7_15,BLUE_7_28,GREEN_7_28,NIR_7_28,RED_7_28,REDEDGE_7_28,BLUE_8_12,GREEN_8_12,NIR_8_12,RED_8_12,REDEDGE_8_12,BLUE_9_2,GREEN_9_2,NIR_9_2,RED_9_2,REDEDGE_9_2,BLUE_9_11,GREEN_9_11,NIR_9_11,RED_9_11,REDEDGE_9_11,COUNT_7_2,AREA_7_2,COUNT_7_15,AREA_7_15,COUNT_7_28,AREA_7_28,COUNT_8_12,AREA_8_12,COUNT_9_2,AREA_9_2,COUNT_9_11,AREA_9_11
MIH119_1244-10-22,0.0551127800398317,0.0970574299933973,0.357080926248756,0.100531282047534,0.185237451329887,0.0258785522329349,0.0652773253950609,0.45265976684291,0.0346985756463202,0.131916627244038,0.0178028220702113,0.0453098568837356,0.491464714976775,0.0203883356412679,0.0979290801400366,0.0241097890378015,0.0605445785943004,0.583564952218155,0.0373017930603806,0.136594647461352,0.0307296124493009,0.0736772174447722,0.567346556075158,0.0459569797868404,0.156447491674058,0.0335595933275352,0.0767454504245417,0.48140818569444,0.0506738856809177,0.150224292219854,2972,60.604548479877,4165,83.0394375998604,4077,83.4988847513164,4199,83.5632278347613,4479,84.3611480300795,4080,82.8146196716759
MIH119_1243-10-21,0.06343395833982,0.106866823260054,0.356109356425597,0.114345564936611,0.196303526145512,0.0298396184969656,0.0663364042591665,0.431232970234653,0.0424681178689188,0.128889906005903,0.0189322169306879,0.0436776236649851,0.455362809725286,0.02264570752336,0.0923699334409278,0.0239119969009793,0.0561685380024542,0.536119793616209,0.0378228394089208,0.122386536962251,0.0270664581557194,0.0620835304137233,0.512813650802136,0.0414887136285951,0.132790372351415,0.0276291075664773,0.0604737004676067,0.410513320181738,0.0424637327929411,0.120514629408717,2406,49.0627670399005,4182,83.3783740798598,4046,82.8639901162193,4189,83.3642203857621,4406,82.9862063452847,4080,82.8146196716759
MIH119_1242-10-20,0.0551858026797598,0.0973884562782581,0.355206094913992,0.0998282363428446,0.183650678020883,0.0259983880006344,0.0640178420678507,0.480572144480517,0.0322641318397299,0.129673479443751,0.0194581430816256,0.0463379733128638,0.500917886058352,0.0217930970295023,0.0987980246481274,0.0237136671021741,0.0568942449005006,0.60127645916349,0.0363242693455824,0.127509719841324,0.0286728619350925,0.063963510072177,0.600468581052291,0.0435026141940867,0.137914423219777,0.0328612983905467,0.0704871838696607,0.510673238873074,0.0505962796784202,0.139332537498336,3311,67.517382239863,4247,84.6743076798576,4046,82.8639901162193,4196,83.5035256000615,4443,83.6830945964821,4092,83.0581920824749
MIH119_1241-10-19,0.0586851692277362,0.10027994222673,0.346898106831383,0.107985678167496,0.185967882408023,0.0269604670829483,0.0639766740776236,0.428200166057687,0.038068721513434,0.126258299606938,0.0174434628445425,0.0440213968963599,0.462042168705637,0.0203226336819786,0.0944659854822148,0.0230915082509914,0.0589271752417131,0.568772440142147,0.034468021053901,0.129899398998186,0.0298010190048992,0.0715262216819426,0.575674235139325,0.0439485242085938,0.152054943456511,0.030277457555819,0.0701831821266157,0.469896305342482,0.0447491228569601,0.137316501175392,2437,49.6949140798992,3969,79.131699359867,4069,83.3350409745171,4139,82.3691831407661,4439,83.6077553260823,4111,83.4438483995734
MIH119_1240-10-18,0.0588146500242939,0.0993060127388939,0.349039611126323,0.107509932525962,0.185104857959711,0.0245586983911821,0.0626305919162731,0.465815171868772,0.0329524129536092,0.129973272852366,0.0191927164972203,0.0500725515182221,0.520311451761746,0.0216823936236894,0.109524835530194,0.0226543184679582,0.0617370843179639,0.613645651273082,0.0322067853231234,0.140694914778299,0.027910018858575,0.0733118646585765,0.618000024190295,0.03937282360872,0.163355389360643,0.0317633658438859,0.0811097716523004,0.533914960489815,0.0455060740653221,0.164089055915111,2884,58.8100665598807,4204,83.8169977598591,4080,83.5603261676161,4227,84.120448691959,4371,82.3269877292872,4097,83.1596805869745
MIH119_1239-10-17,0.0550459905480322,0.0950636141765615,0.354794388469819,0.0999952445125299,0.179015052325844,0.0239930457222074,0.0615137340469623,0.471243949026113,0.0300745131270687,0.124491534382463,0.0187556351675405,0.046228539072178,0.511518717316144,0.0216433544097669,0.0991095640267446,0.0223189873934242,0.0559688990501608,0.571470503254916,0.0328240238961244,0.125174557605159,0.0301716731410499,0.07174830017388,0.601990220980162,0.0462763418999455,0.153987331607735,0.0321435732586059,0.0746035670089043,0.500553933457589,0.0487382866766968,0.147018128061588,3689,75.2254977598474,4162,82.9796252798605,4080,83.5603261676161,4128,82.150274946867,4461,84.0221213132808,4118,83.5859323058729
MIH119_1238-10-16,0.0583449947709969,0.100723726094426,0.356758192812241,0.107862438326399,0.189981492083154,0.0260893009170184,0.0630589380684684,0.463362050452197,0.0341779056451238,0.128125892882633,0.0199432944517452,0.0473123194101657,0.515227769737704,0.0228142784226068,0.100888306463511,0.0223611989345823,0.0547564803127727,0.556041660317539,0.0325821325086866,0.122722629188425,0.0282015162605221,0.0672922859494786,0.577677825739429,0.0429863790137387,0.145990243537774,0.0316568818008889,0.0723583793986444,0.488477588459415,0.0490110245103794,0.142760919876288,2859,58.3002705598817,4157,82.8799380798607,4081,83.580806639716,4247,84.5184635899574,4377,82.4399966348868,4120,83.6265277076727
MIH119_1237-10-15,0.0566001137289766,0.0990506706874587,0.358635126275375,0.103515611554999,0.186897372909966,0.0260424799867546,0.0639314393675095,0.45949061090659,0.0341036866371887,0.128789841948198,0.0190453453101163,0.0462384654162417,0.49677513084752,0.0221875091726388,0.0990494354766229,0.0216518072223508,0.0533934554350656,0.540100709436445,0.0320235003248914,0.120059274610242,0.0290392390689738,0.0699577354917666,0.576529360961082,0.0451592807789218,0.151443940115849,0.0330630195652614,0.0768475105696656,0.490283278903915,0.0506871919482223,0.151220111343648,3006,61.2978710398756,4209,83.9166849598589,4077,83.4988847513164,4188,83.3443196408622,4472,84.22930430688,4120,83.6265277076727
MIH119_1236-10-14,0.0590641049381119,0.102381496446534,0.361015703350199,0.107420344200773,0.190909880223454,0.0278837881410241,0.0667414837175569,0.462856363853585,0.0377256193403927,0.133549351202056,0.0202186525083764,0.0486312450845209,0.508992236156351,0.0237789793541735,0.10399414974875,0.0219316525348579,0.0546085257802826,0.532659391870142,0.0338784535674233,0.121040546307516,0.0300337497282958,0.0730133463611496,0.575137263991626,0.0474649756657643,0.157499046669967,0.0337025495661983,0.078606314888875,0.479369672713349,0.0511893372738607,0.153489766933603,2790,56.8932335998846,4148,82.700501119861,4049,82.925431532519,4193,83.4438233653618,4413,83.1180500684842,4120,83.6265277076727
MIH119_1235-10-13,0.0589414279928926,0.103764467377085,0.366987896896775,0.107584905220014,0.193417645808164,0.0264220158893883,0.0658865144227795,0.485310157264419,0.0339732959294755,0.133970015516247,0.0213573683834379,0.0517026301386894,0.536085114041267,0.0244664672637258,0.109669230320802,0.0242364190196176,0.0597552828192533,0.546094249959773,0.0368149085586786,0.12966756921533,0.0334356555450041,0.0810491209387833,0.613790563573915,0.0527237064861823,0.170700222750953,0.0372653435136416,0.086248406547571,0.519064921335269,0.056953497210736,0.166442882162412,3018,61.5425731198751,4235,84.4350583998581,4049,82.925431532519,4185,83.2846174061624,4436,83.5512508732826,4135,83.9309932211715
MIH119_1234-10-12,0.056160555057945,0.0985022731145635,0.367780263801544,0.102237860721293,0.186622666208344,0.0246945972182439,0.060482457895965,0.458902910136781,0.0331401067688957,0.123778152692258,0.018777410029749,0.046518814294865,0.510349956276197,0.0217779640694879,0.100368356573468,0.0215779054926776,0.0513749142318784,0.523486668302352,0.0330008127753544,0.115624889716147,0.0304943926404197,0.0703498206562816,0.594159817007044,0.0483564257952519,0.149245469076122,0.032749430129664,0.0723908297265008,0.508957350747633,0.0509446486311303,0.142867691175349,2939,59.9316177598784,4159,82.9198129598606,4076,83.4784042792165,4150,82.5880913346652,4432,83.4759116028828,4124,83.7077185112724
